object_id,post_id,ms_space_num,active_meter_flag,reason_code,cap_color,work_order,meter_status,is_active,is_temporary,shape,meter_type_id,street_type_id,location_id,district_id,street_id,route_id,vendor_id,zone_id
177452,569-21340,0,M,-,Black,,Active,1,0,POINT (-122.429869802 37.766942003),2,1,30206,273,569.0,669,3,71
181412,700-12350,0,M,-,Grey,,Active,1,0,POINT (-122.4206146 37.752768098),2,1,30207,186,700.0,654,3,6
181491,700-14060,0,U,U8,-,,Unmetered,0,0,POINT (-122.4205906 37.750252499),1,1,30208,261,700.0,739,1,21
184513,667-12003,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.416259302 37.753416399),3,1,1210,186,,757,4,6
185150,590-00003,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.419673899 37.7753249),3,1,21065,257,,826,4,63
181118,339-03710,0,M,-,Grey,,Active,1,0,POINT (-122.397249575 37.772620641),2,1,24768,267,339.0,845,2,45
185050,658-01005,0,P,-,Red,,Pay-by-license plate,0,0,POINT (-122.392828 37.791659),3,1,30209,281,658.0,913,4,109
184273,446-03001,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.421937801 37.7779038),3,1,8688,257,,592,4,51
179529,593-05160,0,M,-,Grey,,Active,1,0,POINT (-122.413532998 37.785781001),2,1,30210,220,593.0,417,2,5
178342,568-43840,0,M,-,Grey,,Active,1,0,POINT (-122.432813102 37.7274317),2,1,30211,138,568.0,207,2,17
175321,336-07064,4,M,-,Black,,Active,1,0,POINT (-122.409677401 37.790112399),3,1,30212,220,336.0,879,4,78
181962,612-11046,0,U,U8,-,,Unmetered,0,0,POINT (-122.4198907 37.787030999),1,1,30213,278,612.0,739,1,42
184838,869-08340,34,M,-,Grey,,Active,1,0,POINT (-122.387553834 37.764847216),3,1,30214,267,869.0,680,4,45
183186,665-00180,0,M,-,Yellow,,Active,1,0,POINT (-122.394182302 37.793919801),2,1,30215,281,665.0,845,2,109
176670,569-21620,0,T,U3,Grey,,Temporarily Inactive,0,1,POINT (-122.430615741 37.76635216),2,1,30216,273,569.0,669,2,71
176245,502-07110,0,T,UM,Grey,,Temporarily Inactive,0,1,POINT (-122.413502197 37.788011202),2,1,30217,220,502.0,635,2,78
177816,612-12190,19,T,UY,Black,,Temporarily Inactive,0,1,POINT (-122.420296756 37.788261543),3,1,30218,278,612.0,845,4,42
183355,686-00270,0,U,U1,-,,Unmetered,0,0,POINT (-122.410050301 37.783242301),1,1,30219,220,686.0,739,1,5
184602,864-04690,0,M,-,Grey,,Active,1,0,POINT (-122.388678001 37.788342499),2,1,30220,267,864.0,131,3,44
183404,869-04520,0,M,-,Grey,,Active,1,0,POINT (-122.386923504 37.772038963),2,1,30221,267,869.0,706,2,45
185754,386-02154,4,M,-,Black,,Active,1,0,POINT (-122.397026313 37.796190207),3,1,30222,281,386.0,845,4,91
179675,352-04280,0,M,-,Red,,Active,1,0,POINT (-122.435170898 37.7616492),2,1,30223,273,352.0,669,2,71
185135,464-04003,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.423491599 37.776755798),3,1,30224,257,,826,4,51
176455,591-23290,0,M,-,Grey,,Active,1,0,POINT (-122.469026802 37.7297287),2,1,30225,208,591.0,393,2,23
181843,657-28080,0,M,-,Grey,,Active,1,0,POINT (-122.403114557 37.72619105),2,1,30226,100,657.0,152,2,60
176416,360-08050,0,M,-,Grey,,Active,1,0,POINT (-122.467850201 37.782716001),2,1,30227,279,360.0,249,2,62
182473,401-02230,0,M,-,Yellow,,Active,1,0,POINT (-122.410286765 37.78511835),2,1,30228,220,401.0,464,2,5
178530,471-13340,0,M,-,Grey,,Active,1,0,POINT (-122.410905797 37.772001387),2,1,30229,218,471.0,739,2,3
175453,474-01120,0,M,-,Grey,,Active,1,0,POINT (-122.403935077 37.768188783),2,1,30230,253,474.0,699,3,105
185086,906-00200,17,M,-,Grey,,Active,1,0,POINT (-122.436028601 37.761211301),3,2,30231,273,218.0,124,7,71
174447,373-02380,0,M,-,Grey,,Active,1,0,POINT (-122.392712557 37.773616666),2,1,30232,267,373.0,845,2,45
182398,614-20370,0,M,-,Grey,,Active,1,0,POINT (-122.436086406 37.784706275),2,1,30233,266,614.0,718,3,43
180113,542-10220,0,M,-,Yellow,,Active,1,0,POINT (-122.418320099 37.787664101),2,1,30234,278,542.0,608,2,42
185622,470-08006,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.4037982 37.7825062),3,1,30235,281,470.0,858,4,40
177267,446-03270,27,M,-,Grey,,Active,1,0,POINT (-122.422477701 37.777835102),3,1,30236,257,446.0,592,5,51
180358,493-13340,34,M,-,Grey,,Active,1,0,POINT (-122.387056688 37.754481787),3,1,30237,245,493.0,158,4,90
183580,700-02430,0,M,-,Grey,,Active,1,0,POINT (-122.42215677 37.768827486),2,1,30238,273,700.0,741,3,4
182341,600-15250,0,M,-,Green,,Active,1,0,POINT (-122.420806098 37.795072597),2,1,30239,278,600.0,135,2,28
183536,720-05410,41,M,-,Black,,Active,1,0,POINT (-122.402783699 37.795524399),3,1,30240,281,720.0,823,4,35
183345,591-16160,0,M,-,Grey,,Active,1,0,POINT (-122.459779601 37.724741601),2,1,30241,190,591.0,437,2,53
179731,552-07190,0,M,-,Grey,,Active,1,0,POINT (-122.393753169 37.771513456),2,1,30242,267,552.0,695,2,45
184237,363-09003,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.4142169 37.802982102),3,1,3520,226,,842,4,113
184954,847-02050,0,U,U9,-,,Unmetered,0,0,POINT (-122.416067501 37.808128199),1,1,30243,264,847.0,739,1,47
184064,906-00001,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.435583401 37.761126698),3,2,30244,273,218.0,124,4,71
180378,562-06170,0,M,-,Grey,,Active,1,0,POINT (-122.410406599 37.789487098),2,1,30245,220,562.0,635,2,78
184153,471-06011,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.396818 37.782866),3,1,30246,267,471.0,812,4,44
175772,440-63010,0,T,UK,Grey,,Temporarily Inactive,0,1,POINT (-122.487005397 37.779848602),2,1,30247,53,440.0,845,2,32
