route_id,collection_route_desc,collection_subroute,collection_subroute_desc,pmr_route
805,Jackson St: 300 - 400,M207-1,Jackson St: 300 - 400,G-3
806,"Valencia St: 100, 400, 600, 70",M301-1,"Valencia St: 100, 400, 600, 700",R-4
807,Bluxome St: Unit - 100,M427-53,BLUXOME ST UNIT,N-4
808,5th St: 600,M407-2,"8th St: 200, 500",N-4
809,Stockton St: Green St:Vallejo,M206-3,Vallejo St: 600,I-4
810,"California St: Unit, 400",M210-4,Pine St Unit - 200,I-1
811,Kearny St: Grant Ave,M204-3,Kearny St: 900,I-4
812,Herrison St 500,M429-2,Harrison 400-800,M-1
813,Folsom St: Main St: Spear St:,M405-8,"Main St: Unit, 200",N-3
814,Sacramento 100 - 400,M208-1,Sacramento 100 - 400,I-2
815,Chestnut St; Mongomery St,605-4,Francisco,Port 1
816,Marina Garage: Pierce: Unit,M-902,Marina Garage,F-2
817,Mission St: Mint St,M403-4,MISSION ST 1400,N-2
818,Columbus,M202-3,Columbus 000 - 200,G-3
819,Townsend St: 100 - 500,M419-52,KING ST 300,N-4
820,"California St: Unit, 400",M210-3,Pine St Unit - 200,I-4
821,Broadway St: Greenwith St:,M203-4,UNION ST (UNIT-100),G-1
