route_id,collection_route_desc,collection_subroute,collection_subroute_desc,pmr_route
137,Fillmore Hills: 2400 -1700,101-52,Fillmore: 2400-1700 Sutt: 2400,C-4
138,Haight St: 400 - 500,136-1,Haight (Inner),C-3
139,Eddy St: 100 - 900,402-1,Eddy: 100-800,E-4
140,Brannan St: 700 - 900 9th St,418-2,9th-11th Brannan Bryant Harrison,S-1
141,Hickory St: Unit - 100,423-51,Hickory: 100,J-5
142,Ocean ave: 2300-2600 Holloway,319-2,Ocean 2400-2600,O-1
143,Howard St: Unit - 600 Bryan St,404-1,Howard Unit-600,M-1
144,Outer Irving St: 600 - 1000,121-3,Irving,A-5
145,Clement St: Unit - 1100,125-1,Clement,B-2
146,,DPT MOS,,A-5
147,Grove St: Fulton St: McAlliste,M401-2,"Grove St: Unit, 100, 300",J-5
148,Outer Irving St: 600 - 1000,121-2,Irving,A-4
149,Sansome St: Unit-800 Battery S,205-1,Sansome: Unit - 800 Halleck,G-2
150,"Ofarrell St: Unit, 400",M211-1,Post Geary Ofarrel,J-2
151,Dolores St: Unit Church: 200,333-1,14th / Dolores / Church,R-1
152,San Bruno Ave: 2400 - 2700,310-3,Bayshore BLVD 1400-1500,O-4
153,Inner Irving St: 1800 - 2500,120-2,Outer Irving,A-5
154,Jones St: Unit - 800,212-3,Taylor: Unit - 700,J-1
155,California - Steiner Sts: Lot,M907-1,Cal _Steiner Lot,C-4
156,,,,G-1
157,,,,O-4
158,Dogpatch,M434-1,Dogpatch,W-1
159,,DPT MOS,,J-4
160,,DPT MOS,,E-3
161,Mission St: 2800 - 3000,306-1,25th / 26h / Cesar Chavez / Miss,R-4
162,Divisadero St: Sacramento St,103-2,Divisadero - Sacramento,C-1
163,Willow St: Unit - 200,421-1,Larch: Willow,E-4
164,,DPT MOS,,O-2
165,Jones St: Unit - 800,212-3,Taylor: Unit - 700,J-2
166,Polk St: 100 - 2400,412-3,Polk Unit-900,D-2
167,Sacramento St: 100 - 800,208-1,Sacramento: 100 - 800,I-4
168,Haight St: Stanyan St: Masonic,122-1,Haight: Stanyan - Masonic,A-3
169,Valencia 24th St 400 - 1200,301-2,Valencia: McCoppin - 24th St,R-3
170,Washington St: 200 - 400,M222-2,"Washington St: 200, 300, 500",G-2
171,,,,R-1
172,Mission St: 2800 - 3000,306-2,24th / 25th / Cesar Chavez / Mis,R-4
173,,DPT MOS,,R-1
174,Bush St: 100 - 900 Sutter St,209-2,Bush: 400 - 900,I-4
175,Noriega St: 2300 - 2500,332-2,Noriega 30th Ave - 34th Ave,A-2
176,Clement St: 1800 - 2400,127-2,Clement (Outer),B-4
177,Columbus Ave: Unit - 1100,202-3,Columbus,G-3
178,Grant Ave: Unit -1500,204-6,Kearny: 600 - 1000,I-4
179,Mission St: 4300 - 5300,316-3,Mission 4800-5100,O-2
180,Mission St: 3100 - 3500,307-1,Kingston / Mission / Precita,R-5
181,24th St (Inner):  3700 - 4100,304-61,24th St/Castro/Noe,O-3
182,California: 1400 - 1700,115-2,California: 1400-1700,D-2
183,Hyde St: Unit - 1000,413-5,Hyde UNIT-1000,D-1
184,Brannan St: 200 - 500,427-51,5th & Brannan,M-3
185,Bush: 1100 - 1500,114-2,Bush: 1100- 1500,D-1
186,Outer Irving St: 600 - 1000,121-4,Irving,A-5
187,Sacramento St: 100 - 800,208-2,Sacramento: 700 - 800,I-4
188,4th St: 500,M406-1,"2nd St:  Unit, 100, 200",M-2
189,Hyde St: Unit - 1000,413-4,Leavenworth Unit-300,J-3
190,Beale st and Delancy St,607-4,Delancy St 600,Port 3
191,SF General Hospital: Lot,928-1,General Hospital,O-3
192,Divisadero St: Sacramento St,103-2,Divisadero - Sacramento,C-2
193,Kearny St: Grant Ave,M204-1,Kearny St: Unit - 500,I-3
194,Terry Francois,600-2,Pier 52 Boat Launch,Port 3
195,Post St: Unit-600 Geary St,211-2,Post: Unit - 600,I-3
196,Outer Irving St: 600 - 1000,121-1,Irving (Outer),A-4
197,Ellis St: Unit - 900,415-2,Ellis Unit-300,J-1
198,Post St: Unit-600 Geary St,211-2,Post: Unit - 600,J-2
199,Balboa St: 200 - 500,117-1,Balboa 200- 500,B-3
200,Washington - Lombard Port,616-1,Battery Street | 1300,Port 1
201,Clement St: Unit - 1100,125-2,Clement,B-1
202,Geary St: 2400 - 4800,126-1,"Geary2300,2200,OFL2200,STJ",C-1
203,,,,A-2
204,Howard St: 800 - 1600,431-2,Howard 1400-900,N-2
205,,DPT MOS,,M-3
206,Parnassas St: 300 - 700,123-1,Parnassas,A-3
207,Mission St: 4300 - 5300,316-2,Mission 4800-5100,O-2
208,California: 1400 - 1700,115-1,California: 1400- 1700,D-2
209,Divisadero St: Sacramento St,103-3,Divisadero - Sacramento,C-1
210,Fishermans Wharf,201-54,Fishermans Wharf,F-1
211,Hyde St: Unit - 1000,413-1,Hyde Unit-2100,E-1
212,Brannan St: 700 - 900 9th St,418-1,9th-11th Brannan Bryant Harrison,S-1
213,Post - Geary - O Farrell,113-1,Post-Geary-Ofarrell,E-3
214,Mission St: 2500 - 2700,302-2,Mission 2500-2700,R-4
215,Beale st and Delancy St,607-3,Beale St 500,Port 2
216,Union St:1500-2200 Fillmore St,215-3,Filbert/Fillmore/Greenwich/Pix,F-2
217,Columbus Ave: Unit - 1100,202-2,Columbus,F-1
218,Broadway St: Unit - 800,203-1,Broadway,G-1
219,Davis St: Unit - 600,224-1,Davis: Unit - 200,I-1
220,Sacramento 1600-1700,116-2,Sacramento 1600- 1700,D-2
221,Front St: Unit - 300,214-1,Front: Unit - 300,I-1
222,Divisadero St: Sacramento St,103-1,California - Spruce - Laural,C-2
223,Green St; Vallejo St; Front St,606-5,Green,Port 1
224,Post - Geary - O Farrell,113-1,Post-Geary-Ofarrell,E-2
225,Larkin St: Unit - 1100,414-2,Larkin Unit-1100,D-1
226,Howard St: 800 - 1600,431-3,Howard 1600-1500,N-1
227,Stockton St: Green St:Vallejo,M206-4,Filbert St: 700,G-4
228,Ocean ave: 2300-2600 Holloway,319-1,Ocean 2400-2600,O-1
229,California: Unit - 900 Pine St,210-4,Pine: Unit - 600,I-1
230,Balboa St: 3200 - 3600,119-1,Balboa (Outer),B-4
231,Kaplan Ln: Unit,M-931,Kaplan Ln. Unit,M-2
232,,,,B-2
233,California: Unit - 900 Pine St,210-2,California: Unit - 700,I-2
234,Geary St: 5000 - 5200,118-2,Geary,B-3
235,Bryant St: 800,428-1,Bryant 800,S-1
236,Sansome Street,618-1,Sansome Street | 1500,Port 1
237,Grant Ave: Unit -1500,204-1,Grant: Unit - 300,I-3
238,,DPT MOS,,F-1
239,,DPT MOS,,I-1
240,Folsom St: Main St: Spear St:,M405-5,Spear St: Unit,M-1
241,Sacramento 1600-1700,116-1,Sacramento 1600- 1700,D-2
242,Harrison St: 400 - 800,429-2,Harrison 400-700,M-2
243,Fillmore Hills: 2400 -1700,101-51,Fillimore: 2400 -1700 Califronia,C-4
244,,100,,R-3
245,Hyde St: Unit - 1000,413-3,Leavenworth Unit-300,J-4
246,,DPT MOS,,B-1
247,Brannan St: 700 - 900 9th St,418-3,Townsend/Alameda,S-1
248,Geary St: 2400 - 4800,126-2,Geary2600-3100,B-1
249,Clement St: Unit - 1100,125-1,Clement,B-1
250,,DPT MOS,,Port 1
251,Sansome St: Unit-800 Battery S,205-2,Sansome: Unit - 800,I-2
252,Bush St: 100 - 900 Sutter St,209-1,Bush: 200 - 900,I-4
253,,118-2,,B-3
254,,,,R-4
255,Jones St: Unit - 800,212-8,Cyril Magnin: Unit - 100,J-1
256,Larkin St: Unit - 1100,414-1,Larkin Unit-1100,E-2
257,Irving St at 20th Ave: Lot,903,Irving at 20th Ave. Lot,A-5
258,Hyde St: Unit - 1000,413-1,Hyde Unit-2100,E-2
259,Fillmore Flats: 1000 - 1500,102-52,Fillmore Flats,C-3
260,Sansome St: Unit-800 Battery S,205-1,Sansome: Unit - 800 Halleck,I-1
261,Claremont St at Ulloa St: Lot,M922-1,Claremont St at Ulloa St: Lot,A-1
262,"""Portola St: 600 - 700 """,324-2,Portola,A-1
263,California: Unit - 900 Pine St,210-4,Pine: Unit - 600,I-2
264,3rd St: 4600 - 5100,308-2,3rd St,O-4
265,9th St: Unit - 300 10th St,408-1,9th St Unit-300,N-2
266,Gough St: Unit - 500,411-3,Hayes / Fell / Oak,J-5
267,Post St: Unit-600 Geary St,211-1,Post: Unit - 600,I-3
268,Polk St: 100 - 2400,412-3,Polk Unit-900,D-1
269,Post - Geary - O Farrell,113-3,Ofarrell 100-800 Post 900-700,E-4
270,Bush: 1100 - 1500,114-1,Bush: 1100-1500,D-1
271,Howard St: Unit - 600 Bryan St,404-5,Bryant 1600,R-3
272,Franklin St: Unit - 900,409-4,Franklin 1200-1500,D-1
273,Powell St: 1000 - 1700,206-1,"Green, Filbert, Powell, Union",G-4
274,Post St: Unit-600 Geary St,211-3,Ofarrell: Unit - 400,J-2
275,Jones St: Unit - 800,212-6,Mason: Unit - 600,J-1
276,Eddy St: 100 - 900,402-2,Eddy: 100-800,E-4
277,Jackson St: 300 - 400,M207-3,Pacific St: 300 - 500,G-3
278,Battery St: Sansome St: Hallec,M205-1,Battery St: 500 - 1100,G-2
279,California: 1400 - 1700,115-1,California: 1400- 1700,D-1
280,Howard St: Unit - 600 Bryan St,404-5,Bryant 1600,S-1
281,Grant Ave: Unit -1500,204-4,Grant: 1200 - 1500,G-4
282,Natoma St:,M422-2,Jessie St,M-2
283,Larkin St: Unit - 1100,414-1,Larkin Unit-1100,J-3
284,Eddy St: 100 - 900,402-1,Eddy: 100-800,J-1
285,California: Unit - 900 Pine St,210-1,California: Unit - 700,I-4
286,Haight St: Stanyan St: Masonic,122-2,Haight: Stanyan - Masonic,A-3
287,Terry Francois,600-5,20th St 500,Port 3
288,Kearny St: Grant Ave,M204-2,"Grant St: Unit, 200, 300",I-3
289,Geary St: 2400 - 4800,126-4,Geary 4600-5000,B-2
290,Gough St: Oak St: Fell St,M411-3,Fell St. Unit - 300,J-5
291,24th St at Capp St: Lot,M916-1,24th St at Capp St: Lot,R-4
292,Mission St: 2100 - 2400,334-1,Mission 2100-2400,R-3
293,Cortland Ave: 300 - 900,331-1,Cortland,O-3
294,Embarcadero North Port,613-1,Embarcadero North | Unit-600,Port 2
