road_id,road_surface,road_cond_1,road_cond_2,lighting,control_device
202,Wet,Obstruction on Roadway,Not Stated,Daylight,Unknown
203,Dry,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Not Functioning
204,Slippery,Construction or Repair Zone,Not Stated,Daylight,Unknown
205,Wet,No Unusual Condition,Not Stated,Daylight,Obscured
206,Dry,Flooded,Not Stated,Daylight,Functioning
207,Wet,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Unknown
208,Dry,Construction or Repair Zone,Not Stated,Dusk - Dawn,Functioning
209,Dry,Not Stated,Not Stated,Dark - Street Lights,Not Stated
210,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Obscured
211,Dry,"Holes, Deep Ruts",No Unusual Condition,Daylight,Functioning
212,Dry,Construction or Repair Zone,Other,Dark - Street Lights Not Functioning,Functioning
213,Wet,Flooded,Not Stated,Dark - Street Lights,Functioning
214,Dry,Construction or Repair Zone,Not Stated,Not Stated,Functioning
215,Dry,Obstruction on Roadway,Not Stated,Dark - Street Lights,Unknown
216,Wet,Other,Not Stated,Dark - Street Lights Not Functioning,Unknown
217,Dry,Construction or Repair Zone,No Unusual Condition,Dark - Street Lights,Functioning
218,Not Stated,Other,Not Stated,Not Stated,Functioning
219,Dry,"Holes, Deep Ruts",Other,Daylight,Unknown
220,Dry,Not Stated,Not Stated,Dark - Street Lights Not Functioning,Functioning
221,Wet,Loose Material on Roadway,Construction or Repair Zone,Dark - Street Lights,Functioning
222,Dry,"Holes, Deep Ruts",Construction or Repair Zone,Dark - Street Lights,Functioning
223,Wet,Construction or Repair Zone,Not Stated,Dark - Street Lights,Not Stated
224,Dry,Not Stated,Not Stated,Dark - No Street Lights,Functioning
225,Not Stated,"Holes, Deep Ruts",No Unusual Condition,Dark - Street Lights,Functioning
226,Dry,Obstruction on Roadway,No Unusual Condition,Daylight,Unknown
227,Dry,Construction or Repair Zone,Not Stated,Dark - Street Lights Not Functioning,Unknown
228,Not Stated,Not Stated,Not Stated,Dusk - Dawn,Functioning
229,Snowy or Icy,"Holes, Deep Ruts",Not Stated,Daylight,Functioning
230,Wet,No Unusual Condition,Not Stated,Dark - No Street Lights,Not Functioning
231,Not Stated,"Holes, Deep Ruts",No Unusual Condition,Daylight,Not Stated
232,Dry,"Holes, Deep Ruts",No Unusual Condition,Daylight,Unknown
233,Dry,Obstruction on Roadway,Reduced Roadway Width,Daylight,Unknown
234,Slippery,Not Stated,Not Stated,Daylight,Unknown
235,Slippery,Other,Not Stated,Daylight,Functioning
236,Slippery,Other,Not Stated,Daylight,Unknown
237,Dry,Not Stated,Not Stated,Not Stated,Unknown
238,Dry,Loose Material on Roadway,Not Stated,Dark - No Street Lights,Unknown
239,Wet,Loose Material on Roadway,Not Stated,Daylight,Functioning
240,Slippery,Loose Material on Roadway,Not Stated,Dark - Street Lights,Functioning
241,Not Stated,Not Stated,Not Stated,Dusk - Dawn,Unknown
242,Dry,Not Stated,Not Stated,Dark - No Street Lights,Unknown
243,Not Stated,Other,Not Stated,Dark - Street Lights,Unknown
244,Slippery,"Holes, Deep Ruts",Not Stated,Dark - No Street Lights,Unknown
245,Not Stated,Loose Material on Roadway,Not Stated,Daylight,Unknown
