party_id,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,type_of_collision,involves_pedestrian,involves_bicycle,involves_motorcycle,involves_vehicle,ped_action,point,mviw
12150,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,No Pedestrian Involved,POINT (-122.434940873 37.785873259),Pedestrian
12151,1.0,Driver,North,Proceeding Straight,Driver,East,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.411699232 37.787872169),Other Motor Vehicle
12152,,Driver,North,Not Stated,Unknown,Unknown,Unknown,Not Stated,1,0,0,1,Not Stated,POINT (-122.406757777 37.748766479),Not Stated
12153,1.0,Driver,West,Proceeding Straight,Driver,North,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.423413055 37.795737109),Other Motor Vehicle
12154,1.0,Pedestrian,West,Other,Driver,North,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.418626698 37.754177776),Pedestrian
12155,1.0,Driver,East,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.41543157 37.806343429),Other Motor Vehicle
12156,1.0,Driver,South,Making Left Turn,Pedestrian,East,Other,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.411006736 37.792761777),Pedestrian
12157,1.0,Driver,Not Stated,Proceeding Straight,Driver,Not Stated,Proceeding Straight,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.419512737 37.763429273),Other Motor Vehicle
12158,1.0,Driver,West,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.415462128 37.766937056),Other Motor Vehicle
12159,1.0,Driver,East,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.438438267 37.761660853),Other Motor Vehicle
12160,1.0,Driver,East,Making Right Turn,Driver,East,Making Right Turn,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.416285912 37.785372642),Other Motor Vehicle
12161,1.0,Driver,North,Making U Turn,Driver,East,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.4328819 37.78902809),Other Motor Vehicle
12162,1.0,Pedestrian,North,Proceeding Straight,Driver,West,Not Stated,Vehicle/Pedestrian,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.419017543 37.752204442),Pedestrian
12163,1.0,Driver,East,Entering Traffic,Bicyclist,East,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.432157308 37.779537955),Bicycle
12164,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.400626506 37.731954677),Pedestrian
12165,2.0,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.423396761 37.771885644),Pedestrian
12166,1.0,Driver,West,Making Right Turn,Unknown,Unknown,Unknown,Not Stated,0,0,0,1,No Pedestrian Involved,POINT (-122.433608717 37.770747392),Fixed Object
12167,1.0,Driver,South,Proceeding Straight,Driver,East,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.439480381 37.783308487),Other Motor Vehicle
12168,1.0,Driver,East,Making Left Turn,Driver,South,Proceeding Straight,Other,0,0,0,1,No Pedestrian Involved,POINT (-122.40196235 37.768706209),Other Object
12169,2.0,Driver,North,Stopped In Road,Bicyclist,West,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.407164383 37.782190721),Bicycle
12170,1.0,Driver,South,Proceeding Straight,Driver,South,Parked,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.421751305 37.786994813),Other Motor Vehicle
12171,1.0,Driver,Not Stated,Changing Lanes,Driver,West,Stopped In Road,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.437071865 37.779867396),Other Motor Vehicle
12172,,Driver,East,Making Left Turn,Pedestrian,North,Other,Vehicle/Pedestrian,1,0,0,1,"In Road, Including Shoulder",POINT (-122.4288661 37.773263567),Pedestrian
12173,1.0,Driver,North,Proceeding Straight,Driver,North,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.421629656 37.762236124),Other Motor Vehicle
12174,1.0,Driver,North,Making Left Turn,Driver,East,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.455865115 37.786104708),Other Motor Vehicle
12175,1.0,Driver,North,Proceeding Straight,Parked Vehicle,Not Stated,Not Stated,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.441215226 37.75628659),Parked Motor Vehicle
12176,1.0,Bicyclist,East,Proceeding Straight,Driver,South,Making Left Turn,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.404990206 37.769714506),Bicycle
12177,1.0,Bicyclist,East,Proceeding Straight,Unknown,Unknown,Unknown,Other,0,0,0,0,No Pedestrian Involved,POINT (-122.401375491 37.789264322),Not Stated
12178,1.0,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.420817003 37.782894122),Pedestrian
12179,1.0,Driver,West,Proceeding Straight,Driver,West,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.415788385 37.748236072),Other Motor Vehicle
12180,1.0,Bicyclist,East,Proceeding Straight,Driver,East,Making Right Turn,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.450355638 37.777217808),Bicycle
12181,1.0,Driver,North,Making Right Turn,Pedestrian,East,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.401317241 37.794000543),Pedestrian
12182,1.0,Driver,East,Proceeding Straight,Parked Vehicle,West,Parked,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.391772948 37.720293808),Parked Motor Vehicle
12183,1.0,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.428882685 37.743565343),Pedestrian
12184,1.0,Driver,East,Making Right Turn,Bicyclist,East,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.421680484 37.784692153),Not Stated
12185,1.0,Pedestrian,South,Stopped In Road,Driver,West,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,"In Road, Including Shoulder",POINT (-122.406983823 37.752925168),Pedestrian
12186,1.0,Driver,West,Proceeding Straight,Driver,Not Stated,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.431552025 37.786303963),Other Motor Vehicle
12187,1.0,Driver,South,Entering Traffic,Parked Vehicle,North,Parked,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.403717689 37.797503168),Other Motor Vehicle
12188,1.0,Bicyclist,East,Proceeding Straight,Driver,West,Making Right Turn,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.412504308 37.759060098),Bicycle
12189,1.0,Driver,North,Making Left Turn,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.41626551 37.752372788),Other Motor Vehicle
12190,1.0,Driver,North,Proceeding Straight,Pedestrian,West,Not Stated,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.409574179 37.747578869),Pedestrian
12191,1.0,Driver,North,Making Left Turn,Driver,South,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.404070257 37.777272703),Other Motor Vehicle
12192,1.0,Driver,East,Making U Turn,Other,West,Proceeding Straight,Head-On,0,0,0,1,No Pedestrian Involved,POINT (-122.417391335 37.790973192),Other Object
12193,1.0,Driver,East,Making Left Turn,Driver,West,Proceeding Straight,Head-On,0,0,0,1,No Pedestrian Involved,POINT (-122.408007203 37.76924401),Other Motor Vehicle
12194,1.0,Driver,East,Proceeding Straight,Pedestrian,North,Entering Traffic,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.400821219 37.72362489),Pedestrian
12195,1.0,Driver,West,Making U Turn,Driver,North,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.393355125 37.775787315),Other Motor Vehicle
12196,2.0,Driver,South,Stopped In Road,Bicyclist,South,Changing Lanes,Not Stated,1,0,0,1,Not Stated,POINT (-122.42048655 37.789586396),Not Stated
12197,1.0,Driver,West,Proceeding Straight,Driver,East,Proceeding Straight,Head-On,0,0,0,1,No Pedestrian Involved,POINT (-122.445577311 37.70994972),Other Motor Vehicle
12198,1.0,Driver,East,Other Unsafe Turning,Unknown,Unknown,Unknown,Hit Object,0,0,0,1,No Pedestrian Involved,POINT (-122.380631284 37.735545464),Fixed Object
12199,1.0,Driver,South,Passing Other Vehicle,Driver,South,Making Left Turn,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.397408082 37.761619195),Other Motor Vehicle
12200,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.433623591 37.726236244),Pedestrian
12201,1.0,Driver,North,Proceeding Straight,Driver,West,Making Left Turn,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.405607548 37.732438658),Other Motor Vehicle
12202,1.0,Driver,Not Stated,Proceeding Straight,Bicyclist,West,Changing Lanes,Sideswipe,0,1,0,1,No Pedestrian Involved,POINT (-122.457707451 37.724186947),Bicycle
12203,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,Head-On,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.464042005 37.762268849),Pedestrian
12204,1.0,Driver,South,Entering Traffic,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.407164383 37.782190721),Other Motor Vehicle
12205,1.0,Driver,South,Stopped In Road,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.47424554 37.784370456),Motor Vehicle on Other Roadway
12206,1.0,Driver,East,Backing,Driver,East,Proceeding Straight,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.415080546 37.711655034),Other Motor Vehicle
12207,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Other,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.398881777 37.73015202),Pedestrian
12208,1.0,Driver,North,Proceeding Straight,Driver,North,Entering Traffic,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.382053267 37.733397143),Other Motor Vehicle
12209,1.0,Pedestrian,East,Not Stated,Driver,North,Stopped In Road,Vehicle/Pedestrian,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.460224651 37.721901009),Pedestrian
12210,1.0,Driver,East,Proceeding Straight,Driver,West,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.444024306 37.77229529),Other Motor Vehicle
12211,1.0,Bicyclist,East,Proceeding Straight,Driver,East,Making Right Turn,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.396008614 37.747262348),Bicycle
12212,1.0,Driver,West,Making Left Turn,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.428656204 37.761271319),Other Motor Vehicle
12213,1.0,Driver,East,Proceeding Straight,Driver,East,Proceeding Straight,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.409327362 37.800427533),Other Motor Vehicle
12214,1.0,Parked Vehicle,East,Other,Bicyclist,East,Proceeding Straight,Vehicle/Pedestrian,1,1,0,0,No Pedestrian Involved,POINT (-122.423747815 37.76156889),Bicycle
12215,,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.478190826 37.763514758),Pedestrian
12216,1.0,Driver,East,Proceeding Straight,Pedestrian,East,Proceeding Straight,Sideswipe,1,0,0,1,"In Road, Including Shoulder",POINT (-122.439811305 37.734824723),Pedestrian
12217,1.0,Driver,North,Proceeding Straight,Driver,North,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.474666216 37.728265907),Other Motor Vehicle
12218,1.0,Driver,North,Proceeding Straight,Driver,West,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.406429154 37.764547654),Other Motor Vehicle
12219,1.0,Pedestrian,South,Proceeding Straight,Driver,East,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.39805994 37.779566911),Pedestrian
12220,1.0,Driver,South,Proceeding Straight,Parked Vehicle,Not Stated,Parked,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.453589425 37.778663981),Parked Motor Vehicle
12221,1.0,Driver,North,Making Right Turn,Pedestrian,South,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.437474223 37.730242552),Pedestrian
12222,1.0,Driver,West,Making Left Turn,Pedestrian,Not Stated,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.398587834 37.792408221),Pedestrian
