location_id,tb_latitude,tb_longitude,police_district
199,37.74195024129218,-122.3865545414732,BAYVIEW
200,37.78934964373101,-122.41537789018145,CENTRAL
201,37.78572434095024,-122.40598835377864,SOUTHERN
202,37.76525873138088,-122.41623451169254,MISSION
203,37.72371646314573,-122.43743912116032,INGLESIDE
204,37.72162376817587,-122.47232235474618,TARAVAL
205,37.771147520571375,-122.40081648818392,SOUTHERN
206,37.76051913924643,-122.50378547836488,TARAVAL
207,37.772406836664416,-122.47749632084285,RICHMOND
208,37.7928512228,-122.40276677,CENTRAL
209,37.77316601869999,-122.407771211,SOUTHERN
210,37.77625366749269,-122.42791371467092,NORTHERN
211,37.77174035629998,-122.423668483,SOUTHERN
212,37.80292682746696,-122.41979727977204,CENTRAL
213,37.77883663269999,-122.44534673999998,PARK
214,37.76454765362451,-122.40642915448332,MISSION
215,37.7846258534,-122.404447759,SOUTHERN
216,37.80334796719999,-122.416510771,CENTRAL
217,37.73377084374072,-122.49663599632602,TARAVAL
218,37.73158422594416,-122.43974276806142,INGLESIDE
219,37.7911526422,-122.41236408799998,CENTRAL
220,37.789638206036,-122.4069990521072,CENTRAL
221,37.79490243013612,-122.4097549354456,CENTRAL
222,37.72222563579998,-122.436651539,INGLESIDE
223,37.766805242100006,-122.417645452,MISSION
224,37.7772998562026,-122.4196935656792,NORTHERN
225,37.72681198663899,-122.4720659092403,TARAVAL
226,37.71609825579998,-122.46891898999996,TARAVAL
227,37.72587091426361,-122.43285706372936,INGLESIDE
228,37.79486750095136,-122.42998373679858,NORTHERN
229,37.74467267521546,-122.38976016788648,BAYVIEW
230,37.78855926679999,-122.402191761,SOUTHERN
231,37.77603767546826,-122.39420607743487,SOUTHERN
232,37.8007979173575,-122.43626531231872,NORTHERN
233,37.78485253385903,-122.46563231156782,RICHMOND
234,37.78289098128084,-122.46549239087749,RICHMOND
235,37.805096421899925,-122.43204392417132,NORTHERN
236,37.721490863012335,-122.39611247504946,BAYVIEW
237,37.76959055670152,-122.40593275851712,MISSION
238,37.739325432234416,-122.47540907475852,TARAVAL
239,37.77376934665747,-122.41161011691756,SOUTHERN
240,37.74470511369234,-122.42046170955182,INGLESIDE
241,37.73920755436348,-122.39179466869922,BAYVIEW
242,37.76606248648709,-122.47736283055148,RICHMOND
243,37.79189893935949,-122.40257133051252,CENTRAL
244,37.72873178300405,-122.43447864947964,INGLESIDE
245,37.7715951029,-122.42252634499997,SOUTHERN
246,37.75937284221152,-122.44739486289166,PARK
247,37.71145573332306,-122.4526689617813,INGLESIDE
248,37.74593565513183,-122.45086038496498,INGLESIDE
249,37.71990031367287,-122.4749545536518,TARAVAL
250,37.71804005328031,-122.39114136626335,BAYVIEW
251,37.77255781715523,-122.41883700071452,SOUTHERN
252,37.76190156320382,-122.41827131968374,MISSION
253,37.77747022498351,-122.41168045142116,SOUTHERN
254,37.7297375531,-122.383431184,BAYVIEW
255,37.77991204407484,-122.4559213374382,RICHMOND
256,37.80067840760514,-122.4294708840288,NORTHERN
257,37.7774768231,-122.41313312500002,SOUTHERN
258,37.7807914834,-122.399616233,SOUTHERN
259,37.735673598782846,-122.4429788690143,INGLESIDE
260,37.73244969306168,-122.38041463295488,BAYVIEW
261,37.73113192189446,-122.49941319821792,TARAVAL
262,37.800283301749865,-122.43272887617825,NORTHERN
263,37.74004845682714,-122.46374656542844,TARAVAL
264,37.78860190759999,-122.402137822,SOUTHERN
265,37.78221231312934,-122.48059001653154,RICHMOND
266,37.78270198473234,-122.3909944452012,SOUTHERN
267,37.78167126672056,-122.42394525742314,NORTHERN
268,37.77885092882499,-122.43004726467464,NORTHERN
269,37.77812569750276,-122.39184052504902,SOUTHERN
270,37.76590040099094,-122.40558529507172,MISSION
271,37.77511118089917,-122.429365859294,NORTHERN
272,37.7750033367,-122.47190510299998,RICHMOND
273,37.77279917588822,-122.44742937097593,PARK
274,37.776540893721176,-122.41750146258693,SOUTHERN
275,37.75330149756128,-122.44089776450888,MISSION
276,37.77779901089095,-122.40029775920712,SOUTHERN
277,37.764917378215614,-122.42188644581422,MISSION
278,37.773794432458,-122.40413786024,SOUTHERN
279,37.71559451993638,-122.47198272765584,TARAVAL
280,37.753106230779686,-122.50219101993952,TARAVAL
281,37.76087563565632,-122.4957126882552,TARAVAL
282,37.7763688701,-122.419506294,NORTHERN
283,37.723672364132,-122.4551356582713,TARAVAL
284,37.77188564412238,-122.4233967622318,SOUTHERN
285,37.72120940349998,-122.43638454,INGLESIDE
286,37.71750512081126,-122.47162840791246,TARAVAL
287,37.7716180385,-122.47952382499996,RICHMOND
288,37.7770893319953,-122.394981481659,SOUTHERN
289,37.7819746194716,-122.485945329015,RICHMOND
290,37.76154655211238,-122.43506113942946,MISSION
291,37.766165787524415,-122.46001641990728,PARK
292,37.80529785961692,-122.42356958379044,CENTRAL
293,37.7799414878066,-122.45584313006658,RICHMOND
294,37.78495387970294,-122.42798892701636,NORTHERN
295,37.73367501753342,-122.42639116548574,INGLESIDE
296,37.7410274078673,-122.42284057702022,INGLESIDE
297,37.75008260902823,-122.44334726352882,MISSION
298,37.7207594834,-122.43772641,INGLESIDE
299,37.79439754804316,-122.4265140011177,NORTHERN
300,37.791373872814034,-122.44317385410773,RICHMOND
301,37.76318780191157,-122.40730484749362,MISSION
302,37.72723776606309,-122.46668138571616,TARAVAL
303,37.783214312791664,-122.41076482828636,TENDERLOIN
304,37.78677895008945,-122.39825696384972,SOUTHERN
