OBJECTID,POST_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,JURISDICTION,PM_DISTRICT_ID,BLOCKFACE_ID,ACTIVE_METER_FLAG,REASON_CODE,METER_TYPE,METER_VENDOR,METER_MODEL,CAP_COLOR,STREET_ID,STREET_NAME,STREET_NUM,STREET_SEG_CTRLN_ID,LONGITUDE,LATITUDE,WORK_ORDER,COLLECTION_ROUTE,COLLECTION_SUBROUTE,PMR_ROUTE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,shape,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,ON_OFFSTREET_TYPE_DESC,METER_STATUS,METER_TYPE_DESC,GEO_POINT,LOCATION_GRID,IS_ACTIVE,IS_TEMPORARY,PARKING_ZONE
152453,700-10050,0,ON,SFMTA,4.0,700101,U,UB,SS,IPS,M5,Grey,700.0,VALENCIA ST,1005.0,13069000.0,-122.4209909027,37.7566974004,,,,R-3,,,POINT (-122.420990903 37.7566974),Mission,9,20,53,53,3,2,ON_STREET,Unmetered,Single-space,POINT(-122.4209909027 37.7566974004),-122.421_37.757,False,False,4.0_Mission_9
152725,440-30060,0,ON,SFMTA,20.0,440302,U,U5,SS,IPS,M5,Grey,440.0,GEARY BLVD,3006.0,6049201.0,-122.4514849984,37.7820764006,,,,B-1,,,POINT (-122.451484998 37.782076401),Presidio Heights,2,31,11,11,8,6,ON_STREET,Unmetered,Single-space,POINT(-122.4514849984 37.7820764006),-122.451_37.782,False,False,20.0_Presidio Heights_2
152804,462-00010,0,ON,SFMTA,16.0,462001,U,U8,-,-,-,-,462.0,HAIGHT ST,1.0,6603000.0,-122.4224071984,37.7730668996,,,,H-1,,,POINT (-122.422407198 37.7730669),Hayes Valley,6,9,26,26,4,11,ON_STREET,Unmetered,Unknown,POINT(-122.4224071984 37.7730668996),-122.422_37.773,False,False,16.0_Hayes Valley_6
152884,327-04410,0,ON,SFMTA,12.0,327041,U,U1,-,-,-,-,327.0,BROADWAY,441.0,3150000.0,-122.4052368027,37.7979671982,,,,G-4,,,POINT (-122.405236803 37.797967198),North Beach,3,23,106,106,6,3,ON_STREET,Unmetered,Unknown,POINT(-122.4052368027 37.7979671982),-122.405_37.798,False,False,12.0_North Beach_3
152967,600-04300,0,ON,SFMTA,12.0,600042,T,UY,SS,IPS,M5,Grey,600.0,PACIFIC AVE,430.0,10121000.0,,,,DPT MOS,DPT MOS,G-2,,,POINT (-122.4032354 37.797392602),North Beach,3,23,106,106,6,3,ON_STREET,Temporarily Inactive,Single-space,,,False,True,12.0_North Beach_3
153117,216-29030,0,ON,SFMTA,4.0,216291,M,-,SS,IPS,M5,Yellow,216.0,16TH ST,2903.0,723000.0,-122.417701598,37.7651012976,,DPT MOS,DPT MOS,R-2,,,POINT (-122.417701598 37.765101298),Mission,9,20,53,53,3,2,ON_STREET,Active,Single-space,POINT(-122.417701598 37.7651012976),-122.418_37.765,True,False,4.0_Mission_9
153189,440-15020,0,ON,SFMTA,5.0,440152,U,U6,-,-,-,Blue,440.0,GEARY BLVD,1502.0,6040201.0,-122.4281976015,37.7851087999,,,,C-3,,,POINT (-122.428197602 37.7851088),Japantown,5,15,101,101,4,11,ON_STREET,Unmetered,Unknown,POINT(-122.4281976015 37.7851087999),-122.428_37.785,False,False,5.0_Japantown_5
153298,400-03190,0,ON,SFMTA,13.0,400031,U,U1,-,-,-,-,400.0,EDDY ST,319.0,5061001.0,-122.4132682976,37.7837910027,,,,E-1,,,POINT (-122.413268298 37.783791003),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4132682976 37.7837910027),-122.413_37.784,False,False,13.0_Tenderloin_5
154016,568-18480,0,ON,SFMTA,14.0,568182,U,UF,-,-,-,-,568.0,MISSION ST,1848.0,9114000.0,-122.4199273006,37.7667866972,,,,R-2,,,POINT (-122.419927301 37.766786697),Mission,9,20,53,53,3,2,ON_STREET,Unmetered,Unknown,POINT(-122.4199273006 37.7667866972),-122.42_37.767,False,False,14.0_Mission_9
154103,418-09650,0,ON,SFMTA,14.0,418091,U,UC,SS,IPS,M5,Grey,418.0,FOLSOM ST,965.0,5666000.0,-122.4049219002,37.778931102600005,,,,N-3,,,POINT (-122.4049219 37.778931103),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Single-space,POINT(-122.4049219002 37.778931102600005),-122.405_37.779,False,False,14.0_South of Market_6
154305,650-24060,0,ON,SFMTA,5.0,650242,U,U5,-,-,-,-,650.0,SACRAMENTO ST,2406.0,11255000.0,-122.4327089441,37.7900571603,,,,C-4,,,POINT (-122.432708944 37.79005716),Pacific Heights,2,30,102,102,4,6,ON_STREET,Unmetered,Unknown,POINT(-122.4327089441 37.7900571603),-122.433_37.79,False,False,5.0_Pacific Heights_2
154813,612-07060,0,ON,SFMTA,15.0,612072,U,U5,-,-,-,-,612.0,POLK ST,706.0,10555000.0,-122.4191391,37.7833477006,,,,E-4,,,POINT (-122.4191391 37.783347701),Tenderloin,5,36,20,20,4,10,ON_STREET,Unmetered,Unknown,POINT(-122.4191391 37.7833477006),-122.419_37.783,False,False,15.0_Tenderloin_5
155915,563-01090,0,ON,SFMTA,13.0,563011,U,U1,-,-,-,-,563.0,MCALLISTER ST,109.0,8890000.0,-122.4141277168,37.7808085025,,,,J-4,,,POINT (-122.414127717 37.780808502),Tenderloin,5,36,21,21,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4141277168 37.7808085025),-122.414_37.781,False,False,13.0_Tenderloin_5
155938,616-02050,0,ON,SFMTA,1.0,616021,U,U4,-,-,-,-,616.0,POWELL ST,205.0,10677000.0,-122.4081384167,37.7865720053,,,,I-3,,,POINT (-122.408138417 37.786572005),Tenderloin,3,36,19,19,6,3,ON_STREET,Unmetered,Unknown,POINT(-122.4081384167 37.7865720053),-122.408_37.787,False,False,1.0_Tenderloin_3
156016,209-02620,0,ON,SFMTA,14.0,209022,U,U1,-,-,-,-,209.0,09TH ST,262.0,453000.0,-122.4118616019,37.7738350005,,,,N-2,,,POINT (-122.411861602 37.773835),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.4118616019 37.7738350005),-122.412_37.774,False,False,14.0_South of Market_6
156455,121-13010,0,ON,SFMTA,24.0,121131,U,U6,SS,IPS,M5,Grey,121.0,21ST AVE,1301.0,1080000.0,-122.4793222991,37.7632748027,,,,A-5,,,POINT (-122.479322299 37.763274803),Sunset/Parkside,4,35,39,39,10,7,ON_STREET,Unmetered,Single-space,POINT(-122.4793222991 37.7632748027),-122.479_37.763,False,False,24.0_Sunset/Parkside_4
156502,686-01460,0,ON,SFMTA,13.0,686012,U,U1,-,-,-,-,686.0,TURK ST,146.0,12717000.0,-122.4122969021,37.7830803011,,,,J-1,,,POINT (-122.412296902 37.783080301),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4122969021 37.7830803011),-122.412_37.783,False,False,13.0_Tenderloin_5
156604,612-09240,0,ON,SFMTA,15.0,612092,U,UC,SS,IPS,M5,Grey,612.0,POLK ST,924.0,10560000.0,-122.4195989982,37.7856229012,,,,E-3,,,POINT (-122.419598998 37.785622901),Tenderloin,5,36,20,20,4,10,ON_STREET,Unmetered,Single-space,POINT(-122.4195989982 37.7856229012),-122.42_37.786,False,False,15.0_Tenderloin_5
157068,470-02260,0,ON,SFMTA,1.0,470022,U,UC,SS,IPS,M5,Grey,470.0,HOWARD ST,226.0,7030000.0,-122.394219998,37.7900669024,,,,M-1,,,POINT (-122.394219998 37.790066902),Financial District/South Beach,6,8,108,108,1,10,ON_STREET,Unmetered,Single-space,POINT(-122.394219998 37.7900669024),-122.394_37.79,False,False,1.0_Financial District/South Beach_6
157185,470-05060,0,ON,SFMTA,1.0,470052,M,-,SS,IPS,M5,Yellow,470.0,HOWARD ST,506.0,7033000.0,-122.3963263982,37.7884028991,,DPT MOS,DPT MOS,M-2,,,POINT (-122.396326398 37.788402899),Financial District/South Beach,6,8,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.3963263982 37.7884028991),-122.396_37.788,True,False,1.0_Financial District/South Beach_6
157584,580-00250,0,ON,SFMTA,1.0,580001,U,U9,-,-,-,-,580.0,NATOMA ST,25.0,9507000.0,-122.3969870989,37.7885866974,,,,M-2,,,POINT (-122.396987099 37.788586697),Financial District/South Beach,6,8,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.3969870989 37.7885866974),-122.397_37.789,False,False,1.0_Financial District/South Beach_6
157752,568-51360,0,ON,SFMTA,35.0,568512,U,U1,-,-,-,-,568.0,MISSION ST,5136.0,9178000.0,-122.4414975196,37.7159843051,,,,O-2,,,POINT (-122.44149752 37.715984305),Outer Mission,11,28,80,80,9,1,ON_STREET,Unmetered,Unknown,POINT(-122.4414975196 37.7159843051),-122.441_37.716,False,False,35.0_Outer Mission_11
157782,470-11720,0,ON,SFMTA,14.0,470112,M,-,SS,IPS,M5,Grey,470.0,HOWARD ST,1172.0,7049000.0,-122.4110115492,37.77680521400001,,DPT MOS,DPT MOS,N-2,,,POINT (-122.411011549 37.776805214),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4110115492 37.77680521400001),-122.411_37.777,True,False,14.0_South of Market_6
157829,208-02020,0,ON,SFMTA,14.0,208022,U,U8,-,-,-,-,208.0,08TH ST,202.0,409000.0,-122.4115204026,37.776028701,,,,N-2,,,POINT (-122.411520403 37.776028701),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.4115204026 37.776028701),-122.412_37.776,False,False,14.0_South of Market_6
157874,684-01740,0,ON,SFMTA,2.0,684012,U,U5,-,-,-,-,684.0,TOWNSEND ST,174.0,12657000.0,-122.3922050106,37.7794052926,,,,M-3,,,POINT (-122.392205011 37.779405293),Financial District/South Beach,6,8,31,31,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.3922050106 37.7794052926),-122.392_37.779,False,False,2.0_Financial District/South Beach_6
158475,612-01060,0,ON,SFMTA,3.0,612012,U,U9,-,-,-,-,612.0,POLK ST,106.0,10547000.0,-122.4180073028,37.7777294003,,,,J-4,,,POINT (-122.418007303 37.7777294),Tenderloin,6,36,21,21,4,10,ON_STREET,Unmetered,Unknown,POINT(-122.4180073028 37.7777294003),-122.418_37.778,False,False,3.0_Tenderloin_6
158887,211-00680,0,ON,SFMTA,14.0,211002,U,U1,SS,IPS,M5,Grey,211.0,11TH ST,68.0,508000.0,-122.4173853284,37.774425839,,,,N-1,,,POINT (-122.417385328 37.774425839),Mission,6,20,32,32,5,10,ON_STREET,Unmetered,Single-space,POINT(-122.4173853284 37.774425839),-122.417_37.774,False,False,14.0_Mission_6
159311,208-02240,0,ON,SFMTA,14.0,208022,U,U1,SS,IPS,M5,Yellow,208.0,08TH ST,224.0,410000.0,-122.4110629016,37.7756608975,,,,N-2,,,POINT (-122.411062902 37.775660897),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Single-space,POINT(-122.4110629016 37.7756608975),-122.411_37.776,False,False,14.0_South of Market_6
159621,400-01480,0,ON,SFMTA,13.0,400012,U,U9,-,-,-,-,400.0,EDDY ST,148.0,5059000.0,-122.4108304993,37.7842207988,,,,J-1,,,POINT (-122.410830499 37.784220799),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4108304993 37.7842207988),-122.411_37.784,False,False,13.0_Tenderloin_5
159712,209-01020,0,ON,SFMTA,14.0,209012,U,U1,-,-,-,-,209.0,09TH ST,102.0,448000.0,-122.4146815147,37.7760829029,,,,N-2,,,POINT (-122.414681515 37.776082903),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.4146815147 37.7760829029),-122.415_37.776,False,False,14.0_South of Market_6
159762,700-14180,0,ON,SFMTA,29.0,700142,U,U3,-,-,-,-,700.0,VALENCIA ST,1418.0,13074000.0,-122.420558402,37.7499159992,,,,R-5,,,POINT (-122.420558402 37.749915999),Mission,8,20,53,53,3,5,ON_STREET,Unmetered,Unknown,POINT(-122.420558402 37.7499159992),-122.421_37.75,False,False,29.0_Mission_8
159793,370-01220,0,ON,SFMTA,4.0,370012,M,-,SS,IPS,M5,Grey,370.0,CAPP ST,122.0,3673000.0,-122.4187,37.7643650983,,DPT MOS,DPT MOS,R-2,,,POINT (-122.4187 37.764365098),Mission,9,20,53,53,3,2,ON_STREET,Active,Single-space,POINT(-122.4187 37.7643650983),-122.419_37.764,True,False,4.0_Mission_9
160231,365-06130,0,ON,SFMTA,30.0,365061,U,U4,-,-,-,-,365.0,CORTLAND AVE,613.0,4427000.0,-122.4154215024,37.7390110985,,,,O-3,,,POINT (-122.415421502 37.739011098),Bernal Heights,9,2,83,83,9,2,ON_STREET,Unmetered,Unknown,POINT(-122.4154215024 37.7390110985),-122.415_37.739,False,False,30.0_Bernal Heights_9
160422,205-05040,0,ON,SFMTA,2.0,205052,M,-,SS,IPS,M5,Grey,205.0,05TH ST,504.0,304000.0,-122.4001730994,37.7775779002,,DPT MOS,DPT MOS,N-4,,,POINT (-122.400173099 37.7775779),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4001730994 37.7775779002),-122.4_37.778,True,False,2.0_South of Market_6
160648,915-00160,0,OFF,SFMTA,31.0,591261,U,U6,SS,IPS,M5,Grey,591.0,OCEAN AVE,3000.0,9849000.0,-122.4745673013,37.73205039730001,,,,O-1,,,POINT (-122.474567301 37.732050397),West of Twin Peaks,7,41,62,62,10,8,OFF_STREET,Unmetered,Single-space,POINT(-122.4745673013 37.73205039730001),-122.475_37.732,False,False,31.0_West of Twin Peaks_7
160728,686-02050,0,ON,SFMTA,13.0,686021,U,UC,SS,IPS,M5,Grey,686.0,TURK ST,205.0,12718000.0,-122.4126421974,37.7829116014,,,,J-1,,,POINT (-122.412642197 37.782911601),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Single-space,POINT(-122.4126421974 37.7829116014),-122.413_37.783,False,False,13.0_Tenderloin_5
160886,664-09310,0,ON,SFMTA,12.0,664091,U,U9,-,-,-,-,664.0,STOCKTON ST,931.0,12205000.0,-122.4081418027,37.7948043988,,,,G-3,,,POINT (-122.408141803 37.794804399),Chinatown,3,6,104,104,6,3,ON_STREET,Unmetered,Unknown,POINT(-122.4081418027 37.7948043988),-122.408_37.795,False,False,12.0_Chinatown_3
161480,667-00100,0,ON,SFMTA,14.0,667002,U,UB,SS,IPS,M5,Grey,667.0,SOUTH VAN NESS AVE,10.0,12015201.0,-122.4192130004,37.7744962991,,,,N-1,,,POINT (-122.419213 37.774496299),Mission,6,20,32,32,1,10,ON_STREET,Unmetered,Single-space,POINT(-122.4192130004 37.7744962991),-122.419_37.774,False,False,14.0_Mission_6
161572,210-02550,0,ON,SFMTA,14.0,210021,M,-,SS,IPS,M5,Grey,210.0,10TH ST,255.0,487000.0,-122.4130005014,37.7730695986,,DPT MOS,DPT MOS,N-2,,,POINT (-122.413000501 37.773069599),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4130005014 37.7730695986),-122.413_37.773,True,False,14.0_South of Market_6
161962,568-17220,0,ON,SFMTA,14.0,568172,M,-,SS,IPS,M5,Yellow,568.0,MISSION ST,1722.0,9112201.0,-122.4201663022,37.7692803972,,DPT MOS,DPT MOS,R-2,,,POINT (-122.420166302 37.769280397),Mission,9,20,53,53,3,2,ON_STREET,Active,Single-space,POINT(-122.4201663022 37.7692803972),-122.42_37.769,True,False,14.0_Mission_9
162279,500-07090,0,ON,SFMTA,12.0,500071,M,-,SS,IPS,M5,Grey,500.0,JACKSON ST,709.0,7373000.0,-122.4069924985,37.7959404987,,DPT MOS,DPT MOS,G-3,,,POINT (-122.406992499 37.795940499),Chinatown,3,6,104,104,6,3,ON_STREET,Active,Single-space,POINT(-122.4069924985 37.7959404987),-122.407_37.796,True,False,12.0_Chinatown_3
162708,915-00020,0,OFF,SFMTA,31.0,591261,U,U7,SS,IPS,M5,Grey,591.0,OCEAN AVE,3000.0,9849000.0,-122.4747324975,37.7321339984,,,,O-1,,,POINT (-122.474732497 37.732133998),West of Twin Peaks,7,41,62,62,10,8,OFF_STREET,Unmetered,Single-space,POINT(-122.4747324975 37.7321339984),-122.475_37.732,False,False,31.0_West of Twin Peaks_7
163171,547-00020,0,ON,SFMTA,3.0,547002,U,U9,-,-,-,-,547.0,DR TOM WADELL PL,2.0,8277000.0,-122.4183113902,37.7779861762,,,,J-4,,,POINT (-122.41831139 37.777986176),Tenderloin,5,36,21,21,4,10,ON_STREET,Unmetered,Unknown,POINT(-122.4183113902 37.7779861762),-122.418_37.778,False,False,3.0_Tenderloin_5
163203,205-06130,0,ON,SFMTA,2.0,205061,T,UC,SS,IPS,M5,Grey,205.0,05TH ST,613.0,306000.0,-122.3983501555,37.7763666668,,DPT MOS,DPT MOS,N-4,,,POINT (-122.398350156 37.776366667),South of Market,6,34,32,32,1,10,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.3983501555 37.7763666668),-122.398_37.776,False,True,2.0_South of Market_6
163623,562-00290,0,ON,SFMTA,13.0,562001,T,UD,SS,IPS,M5,Red,562.0,MASON ST,29.0,8799000.0,-122.4093456005,37.784193999,,DPT MOS,DPT MOS,J-1,,,POINT (-122.4093456 37.784193999),Tenderloin,5,36,20,20,5,10,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.4093456005 37.784193999),-122.409_37.784,False,True,13.0_Tenderloin_5
163886,845-05090,0,ON,PORT,2.0,845051,U,U9,SS,IPS,M5,Grey,845.0,ILLINOIS ST,509.0,7165000.0,-122.3879218164,37.7653197898,,,,Port 3,,,POINT (-122.387921816 37.76531979),Mission Bay,6,4,34,34,1,10,ON_STREET,Unmetered,Single-space,POINT(-122.3879218164 37.7653197898),-122.388_37.765,False,False,2.0_Mission Bay_6
164203,563-01105,0,ON,SFMTA,13.0,563012,U,UK,-,-,-,-,563.0,MCALLISTER ST,110.0,8890000.0,-122.4140846193,37.7809379711,,,,J-4,,,POINT (-122.414084619 37.780937971),Tenderloin,5,36,21,21,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4140846193 37.7809379711),-122.414_37.781,False,False,13.0_Tenderloin_5
164422,500-08390,0,ON,SFMTA,12.0,500081,M,-,SS,IPS,M5,Grey,500.0,JACKSON ST,839.0,7384000.0,-122.409435509,37.7956349647,,DPT MOS,DPT MOS,G-3,,,POINT (-122.409435509 37.795634965),Chinatown,3,6,104,104,6,3,ON_STREET,Active,Single-space,POINT(-122.409435509 37.7956349647),-122.409_37.796,True,False,12.0_Chinatown_3
164489,490-16030,0,ON,SFMTA,24.0,490161,U,U2,-,IPS,M5,-,490.0,IRVING ST,1603.0,7294000.0,-122.4751368014,37.7635748022,,,,A-5,,,POINT (-122.475136801 37.763574802),Inner Sunset,7,14,109,109,10,7,ON_STREET,Unmetered,Unknown,POINT(-122.4751368014 37.7635748022),-122.475_37.764,False,False,24.0_Inner Sunset_7
164684,612-19320,0,ON,SFMTA,15.0,612192,U,UC,SS,IPS,M5,Grey,612.0,POLK ST,1932.0,10574000.0,-122.4214832292,37.7949224377,,,,D-2,,,POINT (-122.421483229 37.794922438),Russian Hill,3,32,105,105,4,3,ON_STREET,Unmetered,Single-space,POINT(-122.4214832292 37.7949224377),-122.421_37.795,False,False,15.0_Russian Hill_3
164738,440-22100,0,ON,SFMTA,18.0,440222,T,U9,SS,MacKay,mkBeacon,Grey,440.0,GEARY BLVD,2210.0,6044201.0,-122.4399380998,37.7833923985,,DPT MOS,DPT MOS,C-1,,,POINT (-122.4399381 37.783392398),Japantown,2,15,103,103,8,11,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.4399380998 37.7833923985),-122.44_37.783,False,True,18.0_Japantown_2
164938,470-11110,0,ON,SFMTA,14.0,470111,M,-,SS,IPS,M5,Yellow,470.0,HOWARD ST,1111.0,7047000.0,-122.4096727015,37.7776370988,,DPT MOS,DPT MOS,N-2,,,POINT (-122.409672701 37.777637099),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4096727015 37.7776370988),-122.41_37.778,True,False,14.0_South of Market_6
164971,549-22310,0,ON,SFMTA,7.0,549221,T,U8,SS,MacKay,mkBeacon,Grey,549.0,LOMBARD ST,2231.0,8461101.0,-122.4389164017,37.7993673001,,DPT MOS,DPT MOS,F-2,,,POINT (-122.438916402 37.7993673),Marina,2,13,14,14,4,6,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.4389164017 37.7993673001),-122.439_37.799,False,True,7.0_Marina_2
165298,612-22330,0,ON,SFMTA,15.0,612221,U,UC,SS,IPS,M5,Grey,612.0,POLK ST,2233.0,10578000.0,-122.4221812,37.7976014008,,,,D-2,,,POINT (-122.4221812 37.797601401),Russian Hill,3,32,105,105,4,3,ON_STREET,Unmetered,Single-space,POINT(-122.4221812 37.7976014008),-122.422_37.798,False,False,15.0_Russian Hill_3
165930,561-00540,0,ON,SFMTA,1.0,561002,M,-,SS,IPS,M5,Red,561.0,MAIN ST,54.0,8627000.0,-122.3952238985,37.7919728019,,DPT MOS,DPT MOS,M-1,,,POINT (-122.395223899 37.791972802),Financial District/South Beach,6,8,108,108,6,10,ON_STREET,Active,Single-space,POINT(-122.3952238985 37.7919728019),-122.395_37.792,True,False,1.0_Financial District/South Beach_6
166847,700-09560,0,ON,SFMTA,4.0,700092,U,U4,-,-,-,-,700.0,VALENCIA ST,956.0,13068000.0,-122.4212476012,37.7571141989,,,,R-3,,,POINT (-122.421247601 37.757114199),Mission,9,20,52,52,3,5,ON_STREET,Unmetered,Unknown,POINT(-122.4212476012 37.7571141989),-122.421_37.757,False,False,4.0_Mission_9
167035,562-00050,0,ON,SFMTA,13.0,562001,U,U1,-,-,-,-,562.0,MASON ST,5.0,8799000.0,-122.4092372001,37.7836538021,,,,J-1,,,POINT (-122.4092372 37.783653802),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4092372001 37.7836538021),-122.409_37.784,False,False,13.0_Tenderloin_5
167770,218-34010,0,ON,SFMTA,4.0,218341,U,U1,-,-,-,-,218.0,18TH ST,3401.0,878000.0,-122.4195174982,37.761771201,,,,R-3,,,POINT (-122.419517498 37.761771201),Mission,9,20,53,53,3,2,ON_STREET,Unmetered,Unknown,POINT(-122.4195174982 37.761771201),-122.42_37.762,False,False,4.0_Mission_9
169279,216-31140,0,ON,SFMTA,4.0,216312,M,UY,SS,IPS,M5,Yellow,216.0,16TH ST,3114.0,732000.0,-122.4225096979,37.7649486017,,DPT MOS,DPT MOS,R-2,,,POINT (-122.422509698 37.764948602),Mission,9,20,37,37,3,5,ON_STREET,Active,Single-space,POINT(-122.4225096979 37.7649486017),-122.423_37.765,True,False,4.0_Mission_9
